"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BGR","WAGEGAP","EMPLOYEE","PC","A","2014",4.0625,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2003",1.6831838918,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2006",5.5555555556,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2009",9.0909090909,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2011",16,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2013",10.666666667,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2015",14.285714286,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2017",12.5,
"COL","WAGEGAP","EMPLOYEE","PC","A","2007",1.3393170184,
"COL","WAGEGAP","EMPLOYEE","PC","A","2008",1.7396907216,
"COL","WAGEGAP","EMPLOYEE","PC","A","2009",3.3846751713,
"COL","WAGEGAP","EMPLOYEE","PC","A","2010",6.4305555556,
"COL","WAGEGAP","EMPLOYEE","PC","A","2011",3.5348084188,
"COL","WAGEGAP","EMPLOYEE","PC","A","2012",8.1979467756,
"COL","WAGEGAP","EMPLOYEE","PC","A","2013",7.1428571429,
"COL","WAGEGAP","EMPLOYEE","PC","A","2014",9.6,
"COL","WAGEGAP","EMPLOYEE","PC","A","2015",11.141715728,
"COL","WAGEGAP","EMPLOYEE","PC","A","2016",7.0917506686,
"COL","WAGEGAP","EMPLOYEE","PC","A","2017",7.6923076923,
"COL","WAGEGAP","EMPLOYEE","PC","A","2018",5.7879259259,
"COL","WAGEGAP","EMPLOYEE","PC","A","2019",4,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2010",0,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2011",4.6306818182,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2012",0.5524861878,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2013",0,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2014",5.1497005988,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2015",3.7037037037,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2016",1.7857142857,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2017",2.967032967,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2018",4.7252747253,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2010",4.0669856459,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2014",-1.565995526,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2018",7.9150579151,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2006",30.26689381,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2010",24.600990644,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2014",13.409234662,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2018",15.871047737,
"EST","WAGEGAP","EMPLOYEE","PC","A","2010",23.494800731,
"EST","WAGEGAP","EMPLOYEE","PC","A","2014",22.888015717,
"EST","WAGEGAP","EMPLOYEE","PC","A","2018",17.318435754,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2002",24.207612457,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2003",25.325311319,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2004",25.013528139,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2005",21.924398625,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2006",21.955215729,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2007",20.40924794,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2008",22.058823529,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2009",21.13599802,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2010",20.391577392,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2011",19.659666908,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2012",20,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2013",20.345901815,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2014",20.108141196,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2015",20.439189189,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2016",21.593332041,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2017",21.791789941,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2018",22.659192432,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2002",18.919555573,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2006",10.991957105,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2010",19.055649241,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2014",21.122994652,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2002",14.583333333,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2006",15.952380952,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2010",10.642570281,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2014",12.479740681,
"MLT","WAGEGAP","EMPLOYEE","PC","A","2006",7.0607553366,
"MLT","WAGEGAP","EMPLOYEE","PC","A","2010",7.0678796361,
"MLT","WAGEGAP","EMPLOYEE","PC","A","2014",9.0458488228,
"MLT","WAGEGAP","EMPLOYEE","PC","A","2018",11.09375,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2002",16.96969697,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2006",9.8113207547,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2010",9.6317280453,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2014",1.5463917526,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2018",3.4965034965,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2002",9.3050647821,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2006",7.1287128713,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2010",0.9917355372,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2014",4.9962714392,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2002",16.9009774176417,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2003",16.4029821654894,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2004",16.2178836461179,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2005",15.816332462703,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2006",15.39547585838,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2007",14.5825894425018,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2008",14.5563581256567,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2009",14.027069108333,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2010",13.9074132758839,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2011",13.6304567016407,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2012",13.7926969525059,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2013",13.6961258044192,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2014",13.599993535259,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2015",13.8226960093712,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2016",13.2726032403468,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2017",12.8914073482698,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2018",12.8189919059237,
